Timestamp,Full Name,Nationality/Country of origin,Gender,Age,Current Program at DU,Name of the College/department ,Year of Enrollment at DU ,Current Year of Study,Accomodation type,Why did you specifically choose Delhi University for your studies?,What factors most influenced your decision to study in India? (Select top 3),Did you apply to universities outside India?,How is DU perceived in your home country?,"Before arriving, your expectations of DU were:",Did DU meet your expectations?,Your first impression of DU campus was:,Your first impression of Delhi city was:,How welcoming did you find students/faculty on your first day?,Which cultural shocks did you experience? (Select all that apply),How long did it take to adapt to Delhi's culture?,What aspect of Indian culture do you appreciate most?,How does DU's academic culture compare to your home country?,What does DU do BETTER than your home country's universities?,What does your home country do BETTER than DU?,How has DU contributed to your academic growth?,Rate your interaction with DU faculty,How inclusive is your classroom environment?,Are you staying in DU hostel for foreign students?,If in hostel: Rate the facilities,Have you used FSR (Foreign Students Registry) Office services?,Rate safety as a foreign student in Delhi,What do you LOVE MOST about DU?,What is your biggest complaint about DU?,Would you recommend DU to students from your country?,Rate your overall DU experience,"If you could start over, would you choose DU again?",I consent to my responses being used for research,Email Address
4/24/2026 0:36:47,Kwame Okafor,Bhutan,Non-binary,23,Undergraduate (BA/BSc/BCom),Miranda House,2023,3rd Year,University Hostel (FSR designated),Scholarship opportunity,"Quality education, Family heritage/roots, Career opportunities in India","No, didn't consider other countries",Not well known,Moderate,"Met some, not others",Somewhat impressed,Liked it,Felt isolated,"Religious practices everywhere, Different bathroom habits, Bargaining culture",Still haven't adapted,Music and arts,Somewhat less rigorous,Nothing,Infrastructure/Facilities,Not at all,3,Neutral,Yes,Very poor,"No, didn't know about it",Very unsafe,Affordable education,Language barriers,Not sure,2,Definitely not,Yes,
4/24/2026 0:36:50,Fatima Hassan,Sri Lanka,Male,26,MPhil,Kirori Mal College,2023,3rd Year,Private PG,Scholarship opportunity,"Family heritage/roots, Low cost of living, Career opportunities in India","No, didn't consider other countries",Not well known,High,"Met some, not others",Very disappointed,Disliked it,Felt isolated,"Gender segregation, Too much pollution, Religious practices everywhere",Still haven't adapted,Food variety,Similar,Nothing,Administrative efficiency,Not at all,1,Neutral,"No, private accommodation",N/A,"Yes, somewhat helpful",Neutral,Nothing specific,Language barriers,Probably no,3,Definitely not,Yes,
4/24/2026 0:36:52,Chen Nguyen,Nepal,Female,26,MPhil,Hindu College,2023,3rd Year,University Hostel (FSR designated),Academic reputation,"Cultural exploration, Quality education, Yoga/Spirituality interest","Yes, and got accepted",Somewhat known and respected,High,"Met some, not others",Neutral / Somewhat disappointed,Liked it,Somewhat welcoming,"Time is flexible (Indian Standard Time), Staring from strangers, Too much pollution, Food is too spicy",6+ months,None,Somewhat less rigorous,Lower fees,Safety,Not at all,3,Somewhat exclusive,Yes,Average,"Yes, but unhelpful",Very unsafe,Friends made here,Language barriers,Definitely no,1,Not sure,Yes,
4/24/2026 0:36:55,Siddhartha Rajapaksa,Ethiopia,Male,18,PhD,St. Stephen's College,2024,2nd Year,Private PG,Academic reputation,"Yoga/Spirituality interest, Low cost of living, Family heritage/roots","No, only applied to India",Not well known,Moderate,Did not meet expectations,Somewhat impressed,Hated it initially,Neutral,"Religious practices everywhere, Traffic chaos, Staring from strangers",6+ months,Food variety,Similar,Diverse student body,Administrative efficiency,Minimally,3,Neutral,"No, private accommodation",N/A,"No, didn't know about it",Neutral,Nothing specific,Safety concerns,Definitely no,3,Probably not,Yes,
4/24/2026 0:36:58,Ngo Tran,Tibet,Female,25,MPhil,Miranda House,2023,3rd Year,University Hostel (FSR designated),Scholarship opportunity,"Adventure/ Travel, Quality education, Cultural exploration","No, didn't consider other countries",Mixed reviews,Moderate,"Met some, not others",Somewhat impressed,Neutral,Somewhat unwelcoming,"Gender segregation, Religious practices everywhere, Traffic chaos, Loud noises everywhere",6+ months,Food variety,Similar,Diverse student body,Infrastructure/Facilities,Not at all,3,Very exclusive,Yes,Poor,"Yes, but unhelpful",Somewhat unsafe,Nothing specific,Safety concerns,Not sure,1,Definitely not,Yes,
4/24/2026 0:37:00,Zahra Ahmadi,Bhutan,Female,24,Postgraduate (MA/MSc/MCom),Ramjas College,2025,1st Year,University Hostel (FSR designated),Scholarship opportunity,"Low cost of living, Career opportunities in India, Adventure/ Travel","Yes, and got accepted",Somewhat known and respected,Moderate,"Met some, not others",Neutral / Somewhat disappointed,Hated it initially,Somewhat welcoming,"Different bathroom habits, Religious practices everywhere, Time is flexible (Indian Standard Time)",6+ months,None,Similar,Nothing,Infrastructure/Facilities,Minimally,3,Very exclusive,Yes,Very poor,"Yes, somewhat helpful",Somewhat unsafe,Friends made here,Language barriers,Not sure,1,Definitely not,Yes,
4/24/2026 0:37:03,Samuel Tesfaye,Afghanistan,Male,23,Postgraduate (MA/MSc/MCom),Ramjas College,2024,2nd Year,Private PG,Affordable fees,"Quality education, Family heritage/roots, Adventure/ Travel","No, only applied to India",Not well known,Very high,Completely disappointed,Neutral / Somewhat disappointed,Liked it,Somewhat welcoming,"Loud noises everywhere, Food is too spicy, Time is flexible (Indian Standard Time), Religious practices everywhere",3-6 months,Festival celebrations,Somewhat less rigorous,Nothing,Safety,Not at all,1,Very exclusive,"No, private accommodation",N/A,"Yes, but unhelpful",Very unsafe,Affordable education,Language barriers,Definitely no,1,Definitely not,Yes,
4/24/2026 0:37:05,Pema Dorji,South Korea,Non-binary,22,Postgraduate (MA/MSc/MCom),Miranda House,2025,1st Year,University Hostel (FSR designated),Scholarship opportunity,"Yoga/Spirituality interest, Quality education, Career opportunities in India","No, only applied to India",Mixed reviews,High,Completely disappointed,Somewhat impressed,Hated it initially,Somewhat unwelcoming,"Staring from strangers, Different bathroom habits, Loud noises everywhere, Gender segregation",3-6 months,None,Much less rigorous,Diverse student body,Administrative efficiency,Moderately,1,Somewhat exclusive,Yes,Average,"No, didn't know about it",Somewhat unsafe,Friends made here,Administrative hassles,Probably no,2,Not sure,Yes,
4/24/2026 0:37:10,Sunita Shrestha,Sri Lanka,Prefer not to say,21,Undergraduate (BA/BSc/BCom),Sri Venkateswara College,2024,2nd Year,Private PG,Scholarship opportunity,"Adventure/ Travel, Low cost of living, Cultural exploration","No, didn't consider other countries",Mixed reviews,Very high,"Met some, not others",Very disappointed,Disliked it,Somewhat welcoming,"Bargaining culture, Too much pollution, Religious practices everywhere",Still haven't adapted,Festival celebrations,Similar,Diverse student body,Infrastructure/Facilities,Not at all,2,Somewhat exclusive,"No, private accommodation",N/A,"Yes, but unhelpful",Neutral,Affordable education,Language barriers,Definitely no,1,Definitely not,Yes,
4/24/2026 0:37:13,Rahul Maharjan,Vietnam,Non-binary,21,Postgraduate (MA/MSc/MCom),Delhi School of Economics,2025,1st Year,University Hostel (FSR designated),Academic reputation,"Family heritage/roots, Adventure/ Travel, Quality education","Yes, and got accepted",Mixed reviews,High,Did not meet expectations,Neutral / Somewhat disappointed,Neutral,Somewhat welcoming,"Loud noises everywhere, Religious practices everywhere, Time is flexible (Indian Standard Time), Food is too spicy",Still haven't adapted,Food variety,Much less rigorous,Diverse student body,Safety,Not at all,1,Somewhat exclusive,Yes,Average,"No, didn't know about it",Somewhat unsafe,Affordable education,Safety concerns,Probably no,1,Not sure,Yes,
4/24/2026 0:37:15,Nathalie Kone,Bhutan,Male,23,PhD,Hindu College,2024,2nd Year,University Hostel (FSR designated),Academic reputation,"Low cost of living, Yoga/Spirituality interest, Family heritage/roots","No, only applied to India",Not well known,Moderate,Did not meet expectations,Neutral / Somewhat disappointed,Liked it,Neutral,"Food is too spicy, Loud noises everywhere, Too much pollution, Staring from strangers",3-6 months,Music and arts,Somewhat less rigorous,Nothing,Safety,Not at all,3,Neutral,Yes,Very poor,"No, didn't know about it",Somewhat unsafe,Affordable education,Safety concerns,Definitely no,3,Not sure,Yes,
4/24/2026 0:37:23,Yousef Ali,Nigeria,Female,21,MPhil,Kirori Mal College,2023,3rd Year,University Hostel (FSR designated),Specific course availability,"Quality education, Yoga/Spirituality interest, Low cost of living","No, didn't consider other countries",Mixed reviews,High,"Met some, not others",Neutral / Somewhat disappointed,Hated it initially,Somewhat welcoming,"Staring from strangers, Different bathroom habits, Time is flexible (Indian Standard Time)",6+ months,Festival celebrations,Somewhat less rigorous,Diverse student body,Infrastructure/Facilities,Not at all,1,Somewhat exclusive,Yes,Very poor,"Yes, but unhelpful",Very unsafe,Nothing specific,Administrative hassles,Not sure,1,Probably not,Yes,
4/24/2026 0:37:26,Grace Adebayo,Ethiopia,Prefer not to say,19,MPhil,Sri Venkateswara College,2023,3rd Year,Private PG,Affordable fees,"Adventure/ Travel, Yoga/Spirituality interest, Low cost of living","Yes, and got accepted",Not well known,Moderate,"Met some, not others",Neutral / Somewhat disappointed,Neutral,Somewhat welcoming,"Bargaining culture, Gender segregation",6+ months,None,Somewhat less rigorous,Lower fees,Safety,Not at all,3,Neutral,"No, private accommodation",N/A,"Yes, but unhelpful",Neutral,Affordable education,Administrative hassles,Definitely no,2,Probably not,Yes,
4/24/2026 0:37:29,Tashi Wangchuk,Nigeria,Non-binary,19,MPhil,Ramjas College,2023,3rd Year,University Hostel (FSR designated),Scholarship opportunity,"Family heritage/roots, Quality education, Low cost of living","Yes, and got accepted",Very prestigious,Moderate,Completely disappointed,Somewhat impressed,Neutral,Somewhat welcoming,"Traffic chaos, Staring from strangers, Gender segregation",6+ months,Hospitality and warmth,Somewhat less rigorous,Diverse student body,Infrastructure/Facilities,Not at all,3,Neutral,Yes,Very poor,"Yes, but unhelpful",Somewhat unsafe,Nothing specific,Language barriers,Not sure,3,Not sure,Yes,
4/24/2026 0:37:34,Linh Le,Nigeria,Prefer not to say,24,Postgraduate (MA/MSc/MCom),Faculty of Arts,2023,3rd Year,Private PG,Affordable fees,"Cultural exploration, Yoga/Spirituality interest, Quality education","Yes, and got accepted",Very prestigious,Very high,"Met some, not others",Somewhat impressed,Liked it,Felt isolated,"Loud noises everywhere, Religious practices everywhere, Gender segregation",6+ months,Hospitality and warmth,Much less rigorous,Diverse student body,Administrative efficiency,Minimally,2,Somewhat exclusive,"No, private accommodation",N/A,"Yes, somewhat helpful",Neutral,Affordable education,Language barriers,Definitely no,1,Not sure,Yes,
4/24/2026 0:37:37,David Bekele,Afghanistan,Non-binary,18,MPhil,Kirori Mal College,2024,2nd Year,University Hostel (FSR designated),Scholarship opportunity,"Cultural exploration, Low cost of living, Adventure/ Travel","Yes, but rejected/waitlisted",Not well known,Very high,"Met some, not others",Very disappointed,Liked it,Felt isolated,"Loud noises everywhere, Gender segregation, Staring from strangers, Traffic chaos",6+ months,None,Much less rigorous,Lower fees,Infrastructure/Facilities,Not at all,1,Neutral,Yes,Average,"No, didn't know about it",Somewhat unsafe,Affordable education,Administrative hassles,Probably no,3,Probably not,Yes,
4/24/2026 0:37:45,Amina Mohamed,Bhutan,Non-binary,20,Undergraduate (BA/BSc/BCom),Hindu College,2023,3rd Year,Private PG,Academic reputation,"Adventure/ Travel, Yoga/Spirituality interest, Family heritage/roots","No, only applied to India",Not well known,Moderate,Completely disappointed,Very disappointed,Liked it,Somewhat unwelcoming,"Too much pollution, Food is too spicy, Loud noises everywhere",3-6 months,Music and arts,Much less rigorous,Lower fees,Infrastructure/Facilities,Not at all,2,Neutral,"No, private accommodation",N/A,"No, didn't know about it",Very unsafe,Nothing specific,Safety concerns,Definitely no,1,Definitely not,Yes,
4/24/2026 0:43:27,Priya Sharma,Mauritius,Male,27,Postgraduate (MA/MSc/MCom),Hindu College,2022,4th Year+,Private PG,Scholarship opportunity,"Cultural exploration, Quality education, Family heritage/roots",No didn't consider other countries,Somewhat known and respected,Low,Exceeded expectations,Very impressed,Liked it,Extremely welcoming,Food is too spicy,Immediately felt at home,Spiritual atmosphere,Much more rigorous,Campus life,Nothing,Tremendously,4,Somewhat inclusive,"No, private accommodation",N/A,"Yes, very helpful",Somewhat safe,Campus atmosphere,Climate,Definitely yes,4,Probably yes,Yes,
4/24/2026 0:43:32,Yuki Tanaka,Japan,Male,28,Undergraduate (BA/BSc/BCom),Kirori Mal College,2025,1st Year,University Hostel (FSR designated),Academic reputation,"Family heritage/roots, Quality education, Cultural exploration","Yes, and got accepted",Very prestigious,Low,Met all expectations,Very impressed,Liked it,Extremely welcoming,"Time is flexible (Indian Standard Time), Food is too spicy",Less than 1 month,Festival celebrations,Much more rigorous,Faculty accessibility,Infrastructure/Facilities,Tremendously,4,Very inclusive,Yes,Good,"Yes, very helpful",Somewhat safe,Festivals,Climate,Definitely yes,4,Probably yes,Yes,
4/24/2026 0:43:34,Lukas Müller,Germany,Male,23,Postgraduate (MA/MSc/MCom),Sri Venkateswara College,2025,1st Year,University Hostel (FSR designated),Scholarship opportunity,"Family heritage/roots, Cultural exploration, Quality education","Yes, and got accepted",Somewhat known and respected,Moderate,Exceeded expectations,Somewhat impressed,Loved it immediately,Extremely welcoming,None,Less than 1 month,Hospitality and warmth,Much more rigorous,Faculty accessibility,Infrastructure/Facilities,Tremendously,5,Somewhat inclusive,Yes,Good,"Yes, very helpful",Somewhat safe,Cultural exposure,Nothing,Probably yes,4,Probably yes,Yes,
4/24/2026 0:43:37,Emily Davis,United States,Non-binary,23,Undergraduate (BA/BSc/BCom),Lady Shri Ram College,2022,4th Year+,Private PG,Academic reputation,"Cultural exploration, Quality education, Yoga/Spirituality interest","Yes, and got accepted",Very prestigious,High,Met all expectations,Somewhat impressed,Liked it,Extremely welcoming,None,1-3 months,Festival celebrations,Much more rigorous,Faculty accessibility,Infrastructure/Facilities,Significantly,4,Somewhat inclusive,"No, private accommodation",N/A,"Yes, very helpful",Somewhat safe,Friends made here,Nothing,Probably yes,4,Probably yes,Yes,
4/24/2026 0:43:42,James Smith,United Kingdom,Male,21,PhD,Delhi School of Economics,2025,1st Year,Private PG,Interest in Indian culture,"Cultural exploration, Yoga/Spirituality interest, Family heritage/roots",No didn't consider other countries,Very prestigious,High,Met all expectations,Very impressed,Loved it immediately,Extremely welcoming,Food is too spicy,Immediately felt at home,Festival celebrations,Similar,Faculty accessibility,Infrastructure/Facilities,Significantly,4,Very inclusive,"No, private accommodation",N/A,"Yes, very helpful",Very safe,Campus atmosphere,Climate,Probably yes,5,Absolutely yes,Yes,
4/24/2026 0:43:44,Camille Laurent,France,Female,28,Postgraduate (MA/MSc/MCom),Shri Ram College of Commerce (SRCC),2025,1st Year,Private PG,Scholarship opportunity,"Family heritage/roots, Yoga/Spirituality interest, Quality education",No didn't consider other countries,Very prestigious,Low,Met all expectations,Very impressed,Loved it immediately,Extremely welcoming,"Time is flexible (Indian Standard Time), Food is too spicy",Less than 1 month,Hospitality and warmth,Much more rigorous,Campus life,Infrastructure/Facilities,Tremendously,5,Somewhat inclusive,"No, private accommodation",N/A,"Yes, very helpful",Somewhat safe,Campus atmosphere,Nothing,Probably yes,5,Probably yes,Yes,
4/24/2026 0:43:47,Liam Williams,Australia,Female,21,Postgraduate (MA/MSc/MCom),Lady Shri Ram College,2025,1st Year,University Hostel (FSR designated),Scholarship opportunity,"Cultural exploration, Quality education, Family heritage/roots",No didn't consider other countries,Somewhat known and respected,Moderate,Exceeded expectations,Somewhat impressed,Liked it,Extremely welcoming,"Food is too spicy, Time is flexible (Indian Standard Time)",Immediately felt at home,Hospitality and warmth,Much more rigorous,Faculty accessibility,Infrastructure/Facilities,Tremendously,5,Very inclusive,Yes,Excellent,"Yes, very helpful",Somewhat safe,Campus atmosphere,Climate,Definitely yes,5,Absolutely yes,Yes,
4/24/2026 0:43:49,Sarah Brown,Canada,Female,27,PhD,Shri Ram College of Commerce (SRCC),2022,4th Year+,University Hostel (FSR designated),Interest in Indian culture,"Cultural exploration, Yoga/Spirituality interest, Family heritage/roots","Yes, and got accepted",Very prestigious,High,Met all expectations,Very impressed,Liked it,Extremely welcoming,None,1-3 months,Hospitality and warmth,Much more rigorous,Diverse student body,Infrastructure/Facilities,Significantly,5,Very inclusive,Yes,Excellent,"Yes, very helpful",Somewhat safe,Cultural exposure,Nothing,Definitely yes,5,Probably yes,Yes,
